date,feature_index,NO2
2025-09-20T00:00:00.000Z,0,
2025-09-16T00:00:00.000Z,0,2.8732657731531866E-5
2025-09-18T00:00:00.000Z,0,
2025-09-15T00:00:00.000Z,0,2.2183333266698554E-5
2025-09-14T00:00:00.000Z,0,1.728240255456983E-5
2025-09-19T00:00:00.000Z,0,1.0973652024404146E-5
2025-09-13T00:00:00.000Z,0,2.5598567871758644E-5
2025-09-17T00:00:00.000Z,0,
2025-04-20T00:00:00.000Z,0,
2025-04-14T00:00:00.000Z,0,
2025-04-19T00:00:00.000Z,0,9.018047906768818E-5
2025-04-15T00:00:00.000Z,0,
2025-04-18T00:00:00.000Z,0,1.4090241661919704E-5
2025-04-16T00:00:00.000Z,0,
2025-04-17T00:00:00.000Z,0,1.5333361261582468E-5
2025-04-21T00:00:00.000Z,0,
2025-03-17T00:00:00.000Z,0,
2025-03-16T00:00:00.000Z,0,
2025-03-18T00:00:00.000Z,0,1.7279759749026896E-5
2025-03-20T00:00:00.000Z,0,3.392700182303088E-5
2025-03-19T00:00:00.000Z,0,
2025-03-13T00:00:00.000Z,0,
2025-03-14T00:00:00.000Z,0,
2025-03-15T00:00:00.000Z,0,
2025-07-26T00:00:00.000Z,0,2.028642055799872E-5
2025-07-19T00:00:00.000Z,0,4.664603975470527E-5
2025-07-21T00:00:00.000Z,0,1.9398107754871794E-5
2025-07-25T00:00:00.000Z,0,1.969861336369326E-5
2025-07-22T00:00:00.000Z,0,1.9641705131851435E-5
2025-07-24T00:00:00.000Z,0,2.1184642992011505E-5
2025-07-20T00:00:00.000Z,0,2.9146910886386953E-5
2025-07-23T00:00:00.000Z,0,1.8410822381805963E-5
